Word,Pron
mortified,"m""Or.4@.faId"
mortifies,"m""Or.4@.faIz"
mortifying,"m""Or.4@.f%aI.IN"
mortise,"m""Or.4Is"
mortised,"m""Or.4Ist"
mortises,"m""Or.4Is.@z"
mortising,"m""Or.4Is.IN"
mortuaries,"m""Or.tSu.%E.riz"
MOS,NULL
MOSCONE,NULL
MOSE,"m""oz"
moselle,"mo.z""El"
moselles,"mo.z""Elz"
moseyed,"m""o.zid"
moseying,"m""o.zi.IN"
moseys,"m""o.ziz"
MOSK,"m""Osk"
MOSSBERG,"m""Osb@`g"
MOSSBERG'S,"m""Os.b%@`gz"
mosses,"m""Os.@z"
mossier,"m""Os.i@`"
mossiest,"m""Os.i.Ist"
MOT,"m""o"
mote,"m""ot"
motes,"m""ots"
motet,"mo.t""Et"
motets,"mo.t""Ets"
mothballs,"m""OT.b%Olz"
mothering,"m""V.D@`.IN"
motherlike,"m""V.D@`.l%aIk"
motherliness,"m""V.D@`.li.n@s"
MOTHERWELL,"m""V.D@`.wEl"
mothproofed,"m""OT.pr%uft"
mothproofing,"m""OT.pr%uf.IN"
mothproofs,"m""OT.pr%ufs"
motionlessly,"m""o.Sn=.l@s.li"
motionlessness,"m""o.Sn=.l@s.n%Es"
motorbikes,"m""o.4@`.b%aIks"
motorboats,"m""o.4@`.b%ots"
motorcades,"m""ot@`k%edz"
motorcars,"m""o.4@`.k%Arz"
motorcycles,"m""o.4@`.s%aI.kl=z"
motorcyclist,"m""o.4@`.s%aI.klIst"
motorcyclists,"m""o.4@`.s%aI.klIsts"
motored,"m""o.4@`d"
motorized,"m""o.4@`.aIzd"
motorizes,"m""o.4@`.%aIz.@z"
motorizing,"m""o.4@`.%aIz.IN"
motorman,"""mot@`m@n"
motormen,"m""o.4@`.m%En"
MOTORSCOOTERS,"m""o.4@`.sk%u4.@`z"
motorways,"m""o.4@`.w%ez"
mottles,"m""A.4l=z"
mottling,"m""A.4l=.IN"
mottoes,"m""A.4oz"
MOUGH,NULL
moujik,"mu""ZIk"
moujiks,"mu""ZIks"
moulded,"m""old.@d"
moulder,"m""old.@`"
mouldered,"m""old.@`d"
moulders,"m""old.@`z"
mouldier,"m""old.i@`"
mouldiest,"m""old.i.Ist"
mouldiness,"m""old.i.n@s"
mouldings,"m""old.INz"
moulds,"m""oldz"
mouldy,"m""old.i"
moult,"m""olt"
moulted,"m""olt.@d"
miladies,"mI""lediz"
MILANOFF,"m@l""An%Of"
MILBANKES,"m""Il.b%aNks"
milch,"m""IltS"
MILCOTE,"""mIl.%kot"
mildest,"m""aIld.Ist"
mildewed,"m""Il.dud"
mildewing,"m""Il.du.IN"
mildews,"m""Il.duz"
mildewy,"m""Il.du.i"
mildness,"m""aIld.n@s"
mileages,"m""aIl.IdZ.@z"
MILENOFF,NULL
mileometer,NULL
mileometers,NULL
milers,"m""aIl.@`z"
MILHAUD,"mi""jo"
MILHAUD'S,"m""Il.h%aU.d%iz"
MILIARIS,NULL
milieux,NULL
militants,"m""I.l@.4@nts"
militaristic,"m%I.lI.4@`.r""Ist.Ik"
militaristically,"m%I.lI.4@`.r""Ist.Ik.%a.laI"
militarists,"m""I.lI.4@`.rIsts"
militarized,"m""I.lI.4@`.raIzd"
militarizes,"m""I.lI.4@`.r%aIz.@z"
militarizing,"m""I.lI.4@`.raIz.IN"
MILITATED,"m""I.l@.t%e4.@d"
militiamen,"m@.l""I.S@.m@n"
militias,"m@.l""I.S@z"
milkbar,"""mIlk.bAr"
milkbars,"""mIlk.bArz"
milked,"m""Ilkt"
milker,"m""Ilk.@`"
milkers,"m""Ilk.@`z"
milkier,"m""Ilk.i@`"
milkiest,"m""Ilk.i.Ist"
milkiness,"m""Ilk.i.n@s"
milking,"m""Ilk.IN"
milkmaids,"m""Ilk.m%edz"
milkmen,"m""Ilk.m@n"
milkshakes,"m""Ilk.Seks"
milksop,"m""Ilk.s%Ap"
milksops,"m""Ilk.s%Aps"
milkweeds,"""mIlk%widz"
MILLAY,"mI""le"
MILLAY'S,"m""Il.l%ez"
millboard,"m""Il.b%Ord"
milldam,"""mIl%dam"
milldams,"""mIl%damz"
MILLE,"m""Il"
milled,"m""Ild"
MILLEDGEVILLE,"""mIlIdZ%vIl"
millenarians,"m%I.l@.n""E.ri@nz"
millenaries,"mI""lEn@`iz"
millenarian,"m%I.l@.n""E.ri@n"
MILLENARIANISM,"m%I.l@.n""E.ri@n.%I.zm="
millenary,"mI""lEn@`i"
millers,"m""Il.@`z"
millet,"m""I.l@t"
milliard,"""mIlj@`d"
milliards,"""mIlj@`dz"
millibar,"m""I.l@.b%Ar"
millibars,"m""I.lI.b%Arz"
MILLIDEGREE,"m""Ili.dIgr%i"
MILLIDEGREES,"m""Ili.dIgr%iz"
MILLIE,"m""I.li"
millilitre,"m""I.l@.l%i.4@`"
millilitres,"m""I.l@.l%i.4@`z"
millimetre,"m""I.l@.m%i.4@`"
millimetres,"m""I.l@.m%i.4@`z"
milliner,"m""I.lI.n@`"
milliners,"m""I.lI.n@`z"
millionths,"m""I.lj@nTs"
millipedes,"m""I.l@.p%idz"
MILLIVOLTMETER,"m""I.lI.v%olt.m%i.4@`"
millpond,"m""Il.p%And"
millponds,"m""Il.p%Andz"
millrace,"""mIl%res"
millraces,"""mIl%res@z"
MILLS'S,"m""Ilz@z"
millstones,"m""Il.st%onz"
millwheels,"m""Il.hw%ilz"
millwright,"m""Il.r%aIt"
millwrights,"m""Il.r%aIts"
MILMAN,"m""Ilm@n"
milord,"mI.l""Ord"
milords,"mI.l""Ordz"
MILQUETOAST,"""mIlk%tost"
MILQUETOASTS,"m""Il.kj%u.t%osts"
MILSTEIN,"m""Ilst%aIn"
MILTIES,"m""Il.t%aIz"
mimed,"m""aImd"
mimeographed,"m""I.mi@.gr%aft"
mimeographing,"m""I.mi@.gr%af.IN"
mimeographs,"m""I.mi@.gr%afs"
mimes,"m""aImz"
MIMETICALLY,"mI.m""E.4Ik.li"
MIMI,"m""i.mi"
mimicked,"m""I.mIkt"
mimicking,"m""I.mIk.IN"
mimics,"m""I.mIks"
MIMIEUX,NULL
miming,"m""aIm.IN"
mimosas,"mI.m""o.s@z"
min,"m""In"
MINACES,"m""In%es@z"
minaret,"m%I.n@`.r""Et"
minatory,"""mIn@%tori"
MINBER,NULL
mincers,"m""Ins.@`z"
minces,"m""Ins.@z"
mincingly,"m""Ins.IN.li"
MINDANAO,"m%In.4@.n""aU"
minders,"m""aIn4.@`z"
mindfully,"m""aInd.fl=.i"
mindfulness,"m""aInd.fl=.n@s"
minding,"m""aIn4.IN"
mindlessly,"m""aInd.l@s.li"
minefields,"m""aIn.f%ildz"
mindlessness,"m""aInd.l@s.n@s"
minelayers,"""maIn%le@`z"
minelaying,"m""aIn.l%e.IN"
mineralogists,"m%I.n@`.r""al.@.dZIsts"
minesweepers,"m""aIn.sw%ip.@`z"
minesweeping,"m""aIn.sw%ip.IN"
mingier,"m""In.dZi.@`"
mingiest,"""mIndZiIst"
MINGUS,"m""INg@s"
mingy,"m""In.dZi"
MINH,"""hotSimin"
miniaturist,"m""I.ni@.tS@`.Ist"
miniaturists,"m""I.ni@.tS@`.Ists"
minibuses,"m""I.ni.b%Vs.@z"
MINIFYING,NULL
minim,"m""I.nIm"
minima,"m""I.n@.m@"
minims,"m""I.nImz"
minimums,"m""I.n@.m@mz"
minions,"m""I.nj@nz"
minis,"m""I.niz"
ministerially,"m%I.nI.st""Ir.i@l.i"
MINISTERING,"m""I.nI.st@`.IN"
ministrant,"m""I.nI.str@nt"
ministrants,"m""I.nI.str@nts"
ministration,"m%I.n@.str""e.Sn="
miniver,"""mIn@v@`"
MINN,NULL
MINNETT,"m""In.n%Et"
minnows,"m""I.noz"
MINNS,"m""Inz"
MINOSO,NULL
MINOT,"""maIn@t"
minster,"m""In.st@`"
minsters,"m""In.st@`z"
minstrelsy,"m""In.str@l.si"
minted,"m""In4.@d"
minting,"m""In4.IN"
mints,"m""Ints"
minuets,"m%I.nju.""Ets"
MINUMUM,NULL
minuses,"m""aI.n@s.@z"
minuted,"m""I.n@4.@d"
minuteness,"maI.n""ut.n@s"
minuter,"maI.n""u4.@`"
minutest,"maI.n""u4.Ist"
minuting,"m""I.n@t.IN"
minxes,"m""INks.@z"
MIO,NULL
MIRA,"m""aI.r@"
mirages,"mI.r""AZ.@z"
MIRANDA,"m@.r""an.4@"
MIRANDA'S,"m@`""and@z"
mired,"m""aIrd"
mires,"m""aIrz"
MIRIANI'S,"m""Ir%i@n%aIz"
mirier,"m""aIr.i.@`"
miriest,"""miRIIst"
miring,"m""aIr.IN"
MIRO,"m""I.ro"
mirroring,"m""I@`.IN"
MIRSKY'S,"m""Ir.sk%aIz"
mirthful,"m""3`T.fl="
mirthfully,"m""3`T.fl=.i"
miry,"m""aIr.i"
misadventures,"m%Is.@d.v""En.tS@`z"
misadvised,"m%Is.@d.v""aIzd"
misadvises,"m%Is.@d.v""aIz.@z"
misadvising,"m%Is.@d.v""aIz.IN"
misalliances,"m%Is.@.l""aI@ns.@z"
misanthropes,"m""I.sn=.Tr%ops"
misanthropically,"m%I.sn=.Tr""Ap.Ik.li"
misanthropist,"mI.s""an.Tr@p.Ist"
misanthropists,"mI.s""an.Tr@p.Ists"
misapplications,"m%Is.a.plI.k""e.Sn=z"
misapplied,"m%Is.@.pl""aId"
misapplies,"m%Is.@.pl""aIz"
misapplying,"m%Is.@.pl""aI.IN"
misapprehended,"m%Is.a.prI.h""En4.@d"
misapprehending,"m%Is.a.prI.h""En4.IN"
misapprehends,"m%Is.a.prI.h""Endz"
misapprehensions,"m%Is.a.prI.h""En.Sn=z"
misappropriated,"m%Is.@.pr""o.pri.%e4.@d"
misappropriates,"m%Is.@.pr""o.pri.ets"
misbehaved,"m%Is.bI.h""evd"
misbehaves,"m%Is.bI.h""evz"
misappropriating,"m%Is.@.pr""o.pri.%e4.IN"
misappropriation,"m%Is.@.pr%o.pri.""e.Sn="
misappropriations,"m%Is.@.pr%o.pri.""e.Sn=z"
misbehaving,"m%Is.bI.h""ev.IN"
misbehaviour,"m%Is.bI.h""ev.j@`"
miscalculates,"mIs.k""al.kj@.lets"
miscalculating,"mIs.k""al.kj@.l%e4.IN"
miscalled,"m""Is.kOld"
miscalling,"m""Is.kOl.IN"
miscalls,"m""Is.kOlz"
miscarriages,"m""Is.k%a.rIdZ.@z"
miscarries,"mIs.k""a.riz"
miscarrying,"mIs.k""a.ri.IN"
miscasting,"m%Is.k""ast.IN"
miscasts,"mIs.k""asts"
miscegenation,"m%I.sI.dZ@.n""e.Sn="
miscellanea,"m%I.s@.l""e.ni@"
miscellaneously,"m%I.s@.l""e.ni@s.li"
miscellaneousness,"m%I.s@.l""e.ni@s.n@s"
miscellany,"m""I.s@.l%e.ni"
MISCHA,"""miS@"
mischances,"mIs.tS""ans.@z"
mischiefs,"m""Is.tSIfs"
mischievously,"m""Is.tSI.v@s.li"
mischievousness,"m""Is.tSI.v@s.n@s"
misconceived,"m%Is.k@n.s""ivd"
misconceives,"m%Is.k@n.s""ivz"
misconceiving,"m%Is.k@n.s""iv.IN"
misconducted,"m%Is.k@n.d""Vkt.@d"
misconducting,"m%Is.k@n.d""Vkt.IN"
misconducts,"mIs.k""An.dVkts"
misconstrues,"m%Is.k@n.str""uz"
misconstruing,"m%Is.k@n.str""u.IN"
miscounted,"mIs.k""aUn4.@d"
miscounting,"m%Is.k""aUn4.IN"
miscounts,"m""Is.kaUnts"
miscued,"mIs.kj""ud"
miscues,"mIs.kj""uz"
miscuing,"mIs.kj""u.IN"
misdated,"mIs.d""et.@d"
misdates,"mIs.d""ets"
misdating,"mIs.d""et.IN"
misdealing,"m%Is.d""il.IN"
misdeals,"m""Is.dilz"
misdealt,"mIs.d""Elt"
misdemean,"%mIsdI""min"
MISDEMEANANTS,"m""Is.d%Im%in%ants"
misdemeaned,"%mIsdI""mind"
misdemeaning,"%mIsdI""minIN"
misdemeanour,"m%Is.dI.m""i.n@`"
misdemeanours,"m%Is.dI.m""i.n@`z"
misdemeans,"%mIsdI""minz"
misdirected,"m%Is.d@.r""Ekt.@d"
misdirecting,"m%Is.d@.r""Ekt.IN"
MISDIRECTORS,"m""Is.d@`%Ekt@`z"
misdirects,"m%Is.d@.r""Ekts"
misdoings,"mIs.d""u.INz"
miserliness,"m""aI.z@`.li.n@s"
miserly,"m""aI.z@`.li"
misers,"m""aI.z@`z"
MISES,"m""aIz@z"
misfires,"mIs.f""aIrz"
misfiring,"mIs.f""aIr.IN"
misfits,"m""Is.fIts"
misgave,"mIs.g""ev"
misgiven,"m""Is.g%Iv@n"
misgives,"mIs.g""Ivz"
misgiving,"mIs.g""Iv.IN"
misgoverned,"mIs.g""V.v@`nd"
misgoverning,"mIs.g""V.v@`n.IN"
misgovernment,"mIs.g""V.v@`.m@nt"
misgoverns,"mIs.g""V.v@`nz"
misguidedly,"mIs.g""aI4.@d.li"
misguides,"mIs.g""aIdz"
misguiding,"mIs.g""aId.IN"
mishandled,"mIs.h""an.4l=d"
mishandles,"mIs.h""an.4l=z"
mishandling,"mIs.h""an.4l=.IN"
mishaps,"m""Is.haps"
misheard,"m%Ish""@`d"
mishearing,"mIs.h""Ir.IN"
mishears,"mIs.h""Irz"
mishit,"m""Is.hIt"
mishits,"m""Is.hIts"
mishitting,"m""Is.hIt.t%IN"
misinformed,"m%Is.In.f""Ormd"
misinforming,"m%Is.In.f""Orm.IN"
misinforms,"m%Is.In.f""Ormz"
misinterpretations,"m%Is.In.t%3`.pr@t.""e.Sn=z"
MISINTERPRETERS,"m%Is.In.t""3`.pr@4.@`z"
misinterpreting,"m%Is.In.t""3`.pr@4.IN"
misinterprets,"m%Is.In.t""3`.pr@ts"
misjudgement,"mIs.dZ""VdZ.m@nt"
misjudgements,"mIs.dZ""VdZ.m@nts"
misjudges,"mIs.dZ""VdZ.@z"
misjudging,"mIs.dZ""VdZ.IN"
mislaid,"mIs.l""ed"
mislaying,"mIs.l""e.IN"
mislays,"mIs.l""ez"
misleadingly,"mIs.l""i4.IN.li"
mismanagement,"mIs.m""a.n@dZ.m@nt"
mismanages,"mIs.m""a.n@dZ.@z"
mismanaging,"mIs.m""a.n@dZ.IN"
mismatched,"mIs.m""atSt"
mismatches,"m""Is.m%atS.@z"
mismatching,"mIs.m""atS.IN"
misnames,"mIs.n""emz"
misnaming,"mIs.n""em.IN"
misnomers,"mIs.n""o.m@`z"
MISO,"""miso"
misogynists,"mI.s""A.dZ@.nIsts"
misplacement,"mIs.pl""es.m@nt"
MISPLACEMENTS,"m%Is.pl""es.m@nts"
misplaces,"mIs.pl""es.@z"
misprinted,"mIs.pr""In4.@d"
misprinting,"m%Is.pr""In4.IN"
misprints,"mIs.pr""Ints"
mispronounced,"m%Is.pr@.n""aUnst"
mispronounces,"m%Is.pr@.n""aUns.@z"
mispronouncing,"m%Is.pr@.n""aUns.IN"
mispronunciations,"m%Is.pr@.n%Vns.i.""e.Sn=z"
misquotation,"m%Is.kwot.""e.Sn="
misquotations,"m%Is.kwot.""e.Sn=z"
misquotes,"mIs.kw""ots"
misquoting,"mIs.kw""o4.IN"
misreading,"mIs.r""i4.IN"
misreads,"mIs.r""idz"
misreported,"m%Is.rI.p""Or4.@d"
misreporting,"m%Is.rI.p""Or4.IN"
misreports,"m%Is.rI.p""Orts"
misrepresented,"m%Is.rE.prI.z""En4.@d"
misruled,"mIs.r""uld"
misrules,"mIs.r""ulz"
misruling,"mIs.r""ul.IN"
MISSA,"""missA"
MISSAIL,"m""Is.%el"
missals,"m""I.sl=z"
missives,"m""I.sIvz"
MISSOULA,"m%Iz""ul@"
misspelled,"mIs.sp""Eld"
misspelling,"mIs.sp""El.IN"
misspellings,"mIs.sp""El.INz"
misspells,"mIs.sp""Elz"
misspelt,"mIs.sp""Elt"
misspending,"m%Is.sp""En4.IN"
misspends,"mIs.sp""Endz"
misspent,"mIs.sp""Ent"
misstated,"mIs.st""e4.@d"
misstatement,"mIs.st""et.m@nt"
misstatements,"mIs.st""et.m@nts"
misstates,"mIs.st""ets"
misstating,"mIs.st""e4.IN"
mistakably,"m""Is.t%ak%ebli"
mistier,"m""Ist.i@`"
mistiest,"m""Ist.i.Ist"
mistily,"m""Ist.@.li"
mistimed,"mIs.t""aImd"
mistimes,"mIs.t""aImz"
mistiming,"mIs.t""aIm.IN"
mistiness,"m""Ist.i.n@s"
misting,"m""Ist.IN"
mistrals,"m""I.strAlz"
mistranslated,"m%Is.tr""ans.le4.@d"
mistranslates,"m%Is.tr""ans.lets"
mistranslating,"m%Is.tr""ans.le4.IN"
mistranslations,"m%Is.trans.l""e.Sn=z"
mistresses,"m""I.str@s.@z"
mistrials,"m""Is.traI@lz"
mistrustful,"mIs.tr""Vst.fl="
mistrustfully,"mIs.tr""Vst.fl=.i"
mistrustfulness,"mIs.tr""Vst.fl=.n@s"
mistrusting,"mIs.tr""Vst.IN"
mistrusts,"mIs.tr""Vsts"
MISUNDERSTANDERS,"%mIs@nd@`""stand%3`s"
misunderstands,"m%Is.Vn.4@`.st""andz"
misused,"mIs.j""uzd"
misuses,"mIs.j""us.@z"
misusing,"mIs.j""uz.IN"
mites,"m""aIts"
mitigated,"m""I.4@.g%e4.@d"
MITRAL,"""maItr@l"
mitres,"m""aI.4@`z"
MITROPOULOS,"m""Itro.p%u.l%os"
mitts,"m""Its"
MITYUKH,NULL
MIUCHI,NULL
mixes,"m""Iks.@z"
MIYAGI,NULL
MIZELL,"m""Iz@l"
mizzen,"m""I.zn="
mizzenmast,"m""I.zn=.m%ast"
medlar,"m""Ed.l@`"
medlars,"m""Ed.l@`z"
medleys,"m""Ed.liz"
MEDMENHAM,"""mEd.%mEn.%ham"
MEE,"""me"
meed,"m""id"
meeds,"m""idz"
MEEHAN,"m""i@n"
MEEKER'S,NULL
meekness,"m""ik.n@s"
meerschaum,"""mirS@m"
meerschaums,"""mirS@mz"
MEETIN,"""me.%tIn"
meetinghouses,"m""i4.IN.h%aUz.@z"
megacycle,"""mEg@%saIk@l"
megacycles,"""mEg@%saIk@lz"
megadeaths,"m""E.g@.d%ETs"
MEGAKARYOCYTIC,NULL
megalithic,"m%E.g@.l""IT.Ik"
megaliths,"m""E.g@.lITs"
megalomaniacs,"m%E.g@.l@.m""e.ni.aks"
MEGALOPOLISES,NULL
megaphones,"m""E.g@.f%onz"
MEGARIANS,NULL
megrim,"""migrIm"
megrims,"""migrImz"
MEHITABEL,"m@""hIt@b@l"
MEINCKIAN,NULL
MEINUNG,"m""in%@N"
MEIR,"""maI@`"
MEISENHEIMER,"m""aIs@nhaIm@`"
MEISTER,"m""aIst@`"
MEISTERSINGER,"""maIst@`%sIN@`"
MEKONG,"""me""kAN"
MELAMINE,"m""E.l@.m%in"
melancholia,"m%E.l@N.k""o.li@"
melancholic,"m%E.l@N.k""A.lIk"
MELANDERI,NULL
MELANESIAN,"m%E.l@.n""i.Zn="
melanges,"me.l""anZ.@z"
MELCHER,"m""El.tS@`"
melded,"m""Eld.@d"
melding,"m""EldIN"
melds,"m""Eldz"
melees,"m""e.lez"
MELIES,NULL
meliorated,"m""i.li@`.r%e4.@d"
meliorates,"m""i.li@`.rets"
meliorating,"m""i.li@`.r%e4.IN"
melioration,"m%i.li@`.r""e.Sn="
meliorations,"m%i.li@`.r""e.Sn=z"
meliorism,"""mili@%riz@m"
meliorist,NULL
meliorists,NULL
MELISANDE,"m""Eli.s%and"
MELLAL,"m""El.l%al"
mellifluous,"m@.l""I.flu@s"
mellower,"m""E.lo@`"
mellowest,"m""E.lo.Ist"
mellowing,"m""E.lo.IN"
mellowly,"m""E.lo.li"
mellowness,"m""E.lo.n@s"
mellows,"m""E.loz"
melodiously,"m@.l""o.4i@s.li"
melodiousness,"m@.l""o.4i@s.n@s"
melodramas,"m""E.l@.dr%A.m@z"
melons,"m""E.l@nz"
meltingly,"m""Elt.IN.li"
melodramatically,"m%E.l@.dr@.m""a.4Ik.li"
melts,"m""Elts"
MELTZER,"m""Elts@`"
MELTZER'S,NULL
MELVILLE,"m""El.vIl"
MELVIN,"m""El.vIn"
MELZI,NULL
MEM,"""mEm"
membranes,"m""Em.brenz"
membranous,"""mEmbr@n@s"
MEME,NULL
MEMINISSE,NULL
memorably,"m""E.m@`.r@.bli"
memorandums,"m%E.m@`.r""an.4@mz"
memorializes,"m@.m""O.ri@l.%aIz.@z"
memorializing,"m@.m""O.ri@l.%aIz.IN"
memorizes,"m""E.m@`.r%aIz.@z"
memsahib,"mEm.""sAIb"
memsahibs,"mEm.""sAIbz"
menaces,"m""E.n@s.@z"
menacingly,"m""E.n@s.IN.li"
menage,"me.n""AZ"
menageries,"m@.n""a.dZ@`.riz"
menages,"me.n""AZ.@z"
MENARCHES,"m""En%ArtS@z"
MENAS,NULL
MENCIUS,NULL
MENCKEN,"m""ENk@n"
mendaciously,"mEn.d""e.S@s.li"
mendacities,"mEn.d""a.s@.4iz"
Mendelian,"""mEn.%dili@n"
MENDELSSOHN,"m""En.4l=.sn="
MENDELSSOHN'S,"m""En.4l=.sn=z"
mender,"m""En4.@`"
MENDERES,"%mEndE""rEs"
menders,"m""En4.@`z"
mendicant,"m""En.4@.k@nt"
mendicants,"m""En.4@.k@nts"
MENDOZA,"mEn.d""o.z@"
mends,"m""Endz"
MENET,NULL
menially,"""mini@lli"
menials,"m""i.ni@lz"
MENILMONTANT,"mEn""il.m%on.t%ant"
meninx,"""minINks"
menisci,NULL
meniscus,"m@.n""I.sk@s"
meniscuses,"mI""nIsk@s@z"
MENLO,"m""En.lo"
MENNEN,"m""En@n"
menses,"""mEnsiz"
MENSHIKOV,NULL
menstrual,"m""En.stru@l"
menstruated,"m""En.stru.%e4.@d"
menstruates,"m""En.stru.ets"
menstruating,"m""En.stru.%e4.IN"
mensurable,"m""En.S.r@.bl="
mensuration,"%mEnS@""reS@n"
mensurations,"%mEnS@""reS@nz"
mentholated,"m""En.T@l.%e4.@d"
mentionable,"m""En.Sn=.@.bl="
mentors,"m""En.tOrz"
MENUHIN,"m@n""uh""In"
Mephistophelean,"%mEfIsto""fili@n"
MERC,"m""3`k"
Mercator,"m3`.k""e.4@`"
MERCE,"m""@`s"
MERCER'S,"m""3`.s@`z"
mercerize,"m""3`.s@`.aIz"
mercerized,"m""3`.s@`.aIzd"
mercerizes,"m""3`.s@`.%aIz.@z"
mercerizing,"m""3`.s@`.%aIz.IN"
merchandised,"m""3`.tS@n.daIzd"
merchandises,"m""3`.tS@n.daIz.@z"
merchantman,"m""3`.tS@nt.m@n"
merchantmen,"m""@`tS@ntmEn"
MERCIER,"m""3`.si@`"
mercies,"m""3`.siz"
mercifulness,"m""3`.sI.fl=.n@s"
mercilessness,"m""3`.sI.l@s.n@s"
mercurially,"m3`.kj""U.ri@l.i"
meres,"""mirz"
MEREST,"m""Ir.Ist"
meretricious,"m%E.r@.tr""I.S@s"
meretriciously,"m%E.r@.tr""I.S@s.li"
meretriciousness,"m%E.r@.tr""I.S@s.n@s"
meridians,"m@`.r""I.4i@nz"
meringues,"m@`.r""aNz"
merino,"m@""rino"
meridional,"m@`.r""I.4i@.nl="
merinos,"m@""rinoz"
meriting,"m""E.r@4.IN"
meritocracies,"m%E.r@t.""A.kr@.siz"
meritocracy,"m%E.r@t.""A.kr@.si"
meritoriously,"m%E.r@t.""O.ri@s.li"
MERIWETHER,"m""Er@w%ED@`"
MERLE,"m""3`l"
mermaids,"m""3`.medz"
mermen,"m""Er.m%En"
MERNER,"m""@`n@`"
MERRICK,"m""E.rIk"
merrier,"m""E.ri@`"
MERRILL,"m""E.r@l"
MERRIMAC,"m""Er@mak"
MERRIMACK,"m""E.rI.m%ak"
merriness,"m""E.ri.n@s"
MERRITT,"m""E.r@t"
merrymakers,"m""E.ri.m%ek.@`z"
MERTON'S,"m""3`.tn=z"
MERVEILLEUX,"m""Er.v@l%o"
MERVIN,"m""3`.vIn"
mesalliance,"%mez@""laI@ns"
mesalliances,"%mez@""laI@nsIs"
mesas,"m""e.s@z"
mescaline,"m""E.sk@.lIn"
mescals,"mE.sk""alz"
mesdemoiselles,"m%e.4@m.@.z""El"
meseemed,NULL
meseems,"mi""simz"
MESENTERIC,"m%E.sn=.t""E.rIk"
meshed,"m""ESt"
meshes,"m""ES.@z"
meshing,"m""ES.IN"
mesmerism,"m""Ez.m@`.r%I.zm="
mesmerist,"m""Ez.m@`.rIst"
mesmerists,"m""Ez.m@`.rIsts"
mesmerizes,"m""Ez.m@`.r%aIz.@z"
mesmerizing,"m""Ez.m@`.r%aIz.IN"
meson,"m""i.zAn"
mesons,"m""iz%Anz"
MESSHALL,"""mEs.hOl"
messiahs,"m@.s""aI@z"
messianic,"m%E.si.""a.nIk"
messier,"m""Es.i@`"
messiest,"m""Es.i.Ist"
MESSIEURS,"me.sj""3`z"
messily,"m""Es.@.li"
MESSINA,"mE.s""i.n@"
MESSINESI,NULL
messiness,"m""Es.i.n@s"
messmate,"""mEs%met"
messmates,"""mEs%mets"
Messrs,"m""E.s@`z"
messuage,"""mEswIdZ"
messuages,"""mEswIdZ@z"
MESTA,"m""Est@"
mestizo,"mE""stizo"
mestizos,"mE""stizoz"
metabolisms,"m@t""ab@l%Iz@mz"
METABOLITE,"m@.t""a.b@.laIt"
METABOLITES,"m@.t""a.b@.laIts"
metabolizes,"m@.t""a.b@.l%aIz.@z"
metabolizing,"m@.t""a.b@.laIz.IN"
metacarpals,"m%Et@k""Arp@lz"
metalanguage,"""mEt@%laNgwIdZ"
metalanguages,"""mEt@%laNgwIdZ@z"
metalled,"m""E.4l=d"
metalling,"m""E.4l=.IN"
metallurgical,"m%E.4@.l""3`.dZIk.l="
metallurgist,"m""E.4l=.3`.dZIst"
metallurgists,"m""E.4l=.3`.dZIsts"
metalworker,"m""E.4l=.w%3`k.@`"
metalworkers,"m""E.4l=.w%3`k.@`z"
metamorphoses,"m%E.4@.m""Or.foz.@z"
metamorphosing,"m%E.4@.m""Or.foz.IN"
metaphorically,"m%E.4@.f""Or.Ik.li"
METAPHOSPHATE,"%mEt@""fAsfet"
metaphysically,"m%E.4@.f""I.zI.kli"
METAPHYSICALS,"m""i.4@.f%I.zI.kl=z"
metatarsals,"%mEt@""tArs@lz"
METED,"m""i4.@d"
metempsychosis,"m%E.4@m.saI.k""o.sIs"
meteorically,"m%i.4i.""Or.Ik.li"
METEORITIC,"m%i.4i@`.""I4.Ik"
meteoroids,"""miti@%rOIdz"
meteorologist,"m%i.4i@`.r""A.l@.dZIst"
meteorologists,"m%i.4i@`.r""A.l@.dZIsts"
METEROLOGICAL,"m""Et%Iro.l%AdZIk@l"
METHACRYLATE,"mET""akr@%let"
methinks,"mI.T""INks"
METHODE,"m@T""od"
methodologically,"m%E.T@4.@.l""A.dZIk.li"
methodologies,"m%E.T@d.""A.l@.dZiz"
methought,"mI""TAt"
meths,"m""ETs"
methuselah,"m@.T""u.z@.l@"
methuselahs,"m@.T""u.z@.l@z"
methylate,"""mETI%let"
methylated,"m""E.Tl=.%e4.@d"
methylates,"""mETI%lets"
methylating,"""mETI%letIN"
meticulousness,"m@.t""I.kj@.l@s.n@s"
metier,"m""e.tSe"
metiers,"m""e.tSez"
METIS,"""mitIs"
METRAZOL,"""mEtr@%zol"
metre,"m""i.4@`"
METRECAL,"m""i.4@`.k%al"
metres,"m""i.4@`z"
metricate,"m""E.tr@k.et"
metricated,"m""E.tr@k.et.@d"
metricates,"m""E.tr@k.ets"
metricating,"m""E.tr@k.et.IN"
metrication,"m%E.tr@k.""e.Sn="
metrications,"m%E.tr@k.""e.Sn=z"
metricize,"m""E.tr@s.aIz"
metricized,"m""E.tr@s.aIzd"
metricizes,"m""E.tr@s.%aIz.@z"
metricizing,"m""E.tr@s.%aIz.IN"
metronomes,"m""E.tr@.n%omz"
