Word,WordNet,MacMillan
ecologist,1,2
ecology,2,1
econ,NA,NA
economic,5,3
economical,3,2
economically,3,2
economics,1,2
economies,NA,NA
economise,2,NA
economist,1,2
economists,NA,NA
economize,2,1
economizing,NA,NA
economy,4,3
ecosystem,1,2
ecosystems,NA,NA
ecoute,NA,NA
ecru,1,NA
ecstasies,NA,NA
ecstasy,3,2
ecstatic,1,1
ecstatically,1,NA
ectoderm,1,NA
ectodermal,1,NA
ectomorph,1,NA
ectopic,1,1
ectoplasm,2,NA
ectoplasmic,NA,NA
ectopy,NA,NA
ecu,NA,NA
ecuador,1,NA
ecumenical,2,1
eczema,1,1
eczemas,NA,NA
ed,1,NA
edam,1,NA
edaphology,NA,NA
edda,2,NA
eddies,NA,NA
eddy,3,NA
edelweiss,1,NA
edema,1,1
edematous,1,NA
eden,2,NA
edgar,1,NA
edge,10,9
edged,3,NA
edger,2,NA
edges,NA,NA
edgeways,2,NA
edgewise,2,NA
edgier,NA,NA
edginess,1,NA
edging,1,1
edgy,1,2
edibility,1,NA
edible,2,1
edibles,NA,NA
edict,2,1
edicts,NA,NA
edification,1,NA
edifice,1,2
edifices,NA,NA
edified,1,NA
edify,1,1
edifying,1,1
edinburgh,1,NA
edison,1,NA
edit,4,4
edited,1,1
edith,NA,NA
editing,1,NA
edition,4,1
editions,NA,NA
editor,2,3
editorial,3,2
editorialise,1,NA
editorialising,NA,NA
editorialize,1,2
editorialized,NA,NA
editorializing,NA,NA
editorially,1,NA
editorials,NA,NA
editors,NA,NA
editorship,1,1
edits,NA,NA
eds,1,NA
educate,3,1
educated,2,1
educates,NA,NA
educating,NA,NA
education,6,2
educational,2,2
educationally,1,NA
educations,NA,NA
educator,1,2
educators,NA,NA
edutainment,1,NA
edward,10,NA
edwardian,2,NA
edwards,1,NA
ee,1,NA
eek,NA,NA
eel,2,1
eels,NA,NA
eelskin,NA,NA
een,NA,NA
eerie,2,1
eerily,1,NA
eery,1,NA
ef,NA,NA
eff,1,NA
effable,NA,NA
efface,3,2
effaced,NA,NA
effacement,2,NA
effect,8,5
effected,1,NA
effecting,NA,NA
effective,6,3
effectively,2,2
effectiveness,2,NA
effectors,NA,NA
effects,1,NA
effectual,2,1
effectuated,NA,NA
effed,NA,NA
effeminacy,1,NA
effeminate,1,1
effendi,1,NA
effendis,NA,NA
effervesce,1,NA
effervescence,2,NA
effervescent,3,2
effervesces,NA,NA
effete,2,1
efficacious,2,1
efficacy,1,1
efficiencies,NA,NA
efficiency,2,2
efficient,2,1
efficiently,1,NA
effigies,NA,NA
effigy,1,1
effing,NA,1
effleurage,1,NA
efflorescing,NA,NA
effluent,2,1
effluvia,NA,NA
effluvium,1,NA
efforce,NA,NA
effort,4,4
effortless,2,1
effortlessly,1,NA
efforts,NA,NA
effraction,NA,NA
effrontery,1,1
effulgence,1,NA
effulgent,1,NA
effused,NA,NA
effusion,2,1
effusions,NA,NA
effusive,2,1
effusively,1,NA
eg,NA,NA
egad,NA,NA
egads,NA,NA
egalitarian,2,1
egg,5,4
eggbeater,2,NA
eggbeaters,NA,NA
eggcup,1,1
egged,NA,NA
eggers,NA,NA
egghead,1,1
eggheaded,NA,NA
eggheadedness,NA,NA
eggheads,NA,NA
egging,NA,NA
eggless,NA,NA
eggnog,1,1
eggnogs,NA,NA
eggplant,2,1
eggplants,NA,NA
eggroll,NA,NA
eggrolls,NA,NA
eggs,1,NA
eggshell,1,2
eggshells,NA,NA
eggy,NA,NA
ego,3,2
egocentric,2,1
egoism,2,NA
egoist,2,NA
egoistic,1,NA
egomania,1,NA
egomaniac,1,1
egomaniacal,NA,NA
egomaniacs,NA,NA
egos,NA,NA
egotism,2,1
egotist,1,1
egotistic,2,NA
egotistical,2,1
egregious,1,1
egregiously,NA,NA
egress,4,1
egret,1,1
egrets,NA,NA
egypt,2,NA
egyptian,3,NA
egyptians,NA,NA
egyptologist,1,NA
egyptology,1,NA
eh,NA,NA
eider,1,NA
eiderdown,2,1
eidetic,1,NA
eiffel,1,NA
eigenvalue,1,NA
eigenvalues,NA,NA
eight,4,NA
eightball,NA,NA
eighteen,2,NA
eighteenth,2,NA
eightfold,1,NA
eighth,3,NA
eighths,NA,NA
eighties,3,NA
eightieth,2,NA
eights,NA,NA
eighty,2,NA
einstein,2,NA
einsteinium,1,NA
eisenberg,NA,NA
eisenhower,1,NA
either,1,2
ejaculate,3,2
ejaculated,NA,NA
ejaculates,NA,NA
ejaculating,NA,NA
ejaculation,2,2
ejaculator,2,NA
ejaculators,NA,NA
ejaculatory,NA,NA
eject,4,3
ejecta,NA,NA
ejectable,NA,NA
ejected,NA,NA
ejecting,NA,NA
ejection,2,NA
ejector,2,NA
ejectors,NA,NA
ejects,NA,NA
eke,NA,NA
eking,NA,NA
el,2,NA
elaborate,6,2
elaborated,1,NA
elaborately,1,NA
elaborates,NA,NA
elaborating,NA,NA
elaboration,5,NA
elaborations,NA,NA
elaine,NA,NA
elan,3,NA
eland,1,NA
elapsed,1,NA
elasmosaur,NA,NA
elastic,4,5
elasticity,1,2
elasticized,1,1
elastin,1,NA
elastomer,1,NA
elastomers,NA,NA
elated,2,1
elating,1,NA
elation,2,1
elations,NA,NA
elb,NA,NA
elbow,7,1
elbowed,NA,NA
elbowing,1,NA
elbows,NA,NA
eld,2,NA
elder,4,3
elderberries,NA,NA
elderberry,2,1
elderlies,NA,NA
elderly,2,1
elders,NA,NA
eldest,2,1
eldorado,1,NA
eldrich,NA,NA
eldritch,1,NA
eleanor,NA,NA
elect,5,2
electability,NA,NA
elected,1,NA
electing,NA,NA
election,4,1
electioneering,2,NA
elections,NA,NA
elective,3,2
electives,NA,NA
electoral,2,1
electorate,1,1
electorial,NA,NA
electors,NA,NA
electra,1,NA
electric,4,2
electrical,2,1
electrically,1,NA
electrician,1,1
electricians,NA,NA
electricity,3,1
electrics,NA,NA
electrification,2,1
electrified,NA,1
electrifies,NA,NA
electrify,3,2
electrifying,1,1
electro,NA,NA
electrocardiogram,1,1
electrochemical,1,NA
electrochemist,NA,NA
electrochemistry,1,NA
electroconvulsive,NA,NA
electrocute,2,1
electrocuted,NA,NA
electrocuting,NA,NA
electrocution,2,NA
electrocutions,NA,NA
electrode,1,1
electrodes,NA,NA
electroencephalograph,1,1
electrokinetic,NA,NA
electrologist,1,NA
electroluminescence,NA,NA
electrolysis,2,2
electrolyte,1,1
electrolytes,NA,NA
electromagnet,1,1
electromagnetic,1,1
electromagnetically,NA,NA
electromagnetics,1,NA
electromagnetism,2,1
electromagnets,NA,NA
electrometer,1,NA
electromyogram,1,NA
electromyography,1,NA
electron,1,1
electronic,2,1
electronica,NA,1
electronically,1,1
electronics,1,2
electrons,NA,NA
electrophoresis,1,NA
electroplate,2,NA
electroplating,NA,NA
electros,NA,NA
electroshock,1,NA
electrostatic,1,NA
electrostatically,1,NA
electrostatics,1,NA
electrotherapy,1,NA
elects,NA,NA
elegance,2,NA
elegant,3,2
elegante,NA,NA
elegantly,2,NA
elegy,1,1
elektra,NA,NA
element,7,6
elemental,3,2
elementally,NA,NA
elementals,NA,NA
elementary,3,3
elements,1,NA
elephant,2,1
elephantine,1,1
elephants,NA,NA
elev,NA,NA
elevate,3,3
elevated,4,3
elevates,NA,NA
elevating,NA,NA
elevation,8,4
elevations,NA,NA
elevato,NA,NA
elevator,2,1
elevators,NA,NA
eleven,3,NA
elevens,NA,NA
elevenses,NA,NA
eleventh,2,NA
elevenths,NA,NA
elf,2,1
elfin,4,NA
eli,NA,NA
elicit,3,2
elicited,1,NA
eliciting,NA,NA
elicits,NA,NA
eligibility,1,NA
eligible,1,2
elijah,1,NA
eliminate,7,4
eliminated,NA,NA
eliminates,NA,NA
eliminating,NA,NA
elimination,5,3
eliminations,NA,NA
eliminator,1,NA
eliminators,NA,NA
elisha,NA,NA
elite,2,3
elites,NA,NA
elitism,1,1
elitist,1,2
elixir,3,1
elixirs,NA,NA
elizabeth,2,NA
elizabethan,2,NA
elk,3,1
elkhorn,NA,NA
elks,NA,NA
elkwood,1,NA
ell,1,NA
elle,NA,NA
ellen,NA,NA
elling,NA,NA
ellipsis,1,1
elliptic,3,NA
elliptical,2,2
elm,2,2
elmer,NA,NA
elms,NA,NA
elmwood,1,NA
elocution,1,1
elocutionary,2,NA
elongate,3,1
elongated,2,1
elongates,NA,NA
elongating,NA,NA
elongation,3,NA
elope,1,1
eloped,NA,NA
elopement,1,NA
elopements,NA,NA
elopes,NA,NA
eloping,NA,NA
eloquence,1,NA
eloquent,1,1
eloquently,2,NA
els,NA,NA
else,NA,1
elses,NA,NA
elsewhere,1,1
elsewheres,NA,NA
elsewise,NA,NA
elt,NA,NA
elucidate,2,1
elucidation,2,NA
elude,3,2
eluded,NA,NA
eludes,NA,NA
eluding,1,NA
elusion,1,NA
elusive,4,1
elutriation,NA,NA
elves,1,NA
elvis,1,NA
elvish,1,NA
elysia,NA,NA
elysian,2,NA
elysium,2,NA
elzevir,NA,NA
em,2,NA
emaciated,1,NA
email,2,NA
emailed,NA,NA
emailing,NA,NA
emails,NA,NA
emanate,2,2
emanated,NA,NA
emanates,NA,NA
emanating,NA,NA
emanation,3,NA
emanations,NA,NA
emancipate,2,1
emancipated,1,1
emancipation,1,1
emancipationist,1,NA
emancipator,1,NA
emancipators,NA,NA
emasculate,3,2
emasculated,1,NA
emasculates,NA,NA
emasculating,NA,NA
emasculation,2,NA
embalm,1,1
embalmed,NA,NA
embalmer,1,NA
embalmers,NA,NA
embalming,NA,NA
embankment,1,1
embankments,NA,NA
embarcadero,NA,NA
embargo,3,2
embargoes,NA,NA
embargoing,NA,NA
embargos,NA,NA
embark,3,1
embarkation,1,NA
embarked,NA,NA
embarking,NA,NA
embarks,NA,NA
embarras,NA,NA
embarrased,NA,NA
embarrass,2,2
embarrassed,2,1
embarrasses,NA,NA
embarrassing,2,2
embarrassingly,1,NA
embarrassment,4,2
embarrassments,NA,NA
embassage,NA,NA
embassies,NA,NA
embassy,2,2
embattled,3,NA
embed,2,4
embedded,2,NA
embedding,NA,NA
embellish,4,2
embellished,NA,NA
embellishing,NA,NA
embellishment,3,2
embellishments,NA,NA
ember,1,2
embers,NA,NA
embezzle,1,1
embezzled,1,NA
embezzlement,1,NA
embezzler,1,NA
embezzlers,NA,NA
embezzles,NA,NA
embezzling,NA,NA
embitter,1,NA
embittered,NA,1
emblazoned,NA,NA
emblem,2,2
emblematic,2,1
embodied,1,NA
embodies,NA,NA
embodiment,3,1
embodiments,NA,NA
embody,3,2
embodying,NA,NA
embolden,1,NA
emboldened,1,NA
embolectomy,1,NA
embolic,1,NA
embolism,2,1
embolization,NA,NA
embolize,NA,NA
embolus,1,NA
emboss,1,NA
embossed,1,1
embouchure,1,NA
embrace,6,4
embraceable,NA,NA
embraced,NA,NA
embraces,NA,NA
embracing,1,NA
embrangle,1,NA
embrasure,1,NA
embrasures,NA,NA
embrocation,1,NA
embroider,2,2
embroidered,NA,NA
embroidering,NA,NA
embroiders,NA,NA
embroidery,2,1
embroil,1,NA
embroiled,1,NA
embryo,2,2
embryologist,1,NA
embryology,1,1
embryonic,2,2
embryos,NA,NA
embryotic,1,NA
embush,NA,NA
emcee,2,2
emceeing,NA,NA
emcees,NA,NA
emend,1,1
emer,NA,NA
emerald,3,1
emeralds,NA,NA
emerge,5,3
emerged,NA,NA
emergence,4,2
emergencies,NA,NA
emergency,3,2
emergent,2,NA
emerges,NA,NA
emerging,2,1
emeril,NA,NA
emeritus,2,1
emersion,2,NA
emerson,1,NA
emery,1,NA
emesis,1,NA
emetic,1,2
emf,1,NA
emigrate,1,1
emigrated,NA,NA
emigrating,NA,NA
emigration,1,NA
emigrational,NA,NA
emigres,NA,NA
emily,NA,NA
eminence,2,2
eminences,NA,NA
eminency,NA,NA
eminent,2,1
eminently,1,1
emir,1,1
emirates,NA,NA
emissaries,NA,NA
emissary,1,1
emission,5,1
emissions,NA,NA
emit,3,2
emits,NA,NA
emittance,NA,NA
emitted,NA,NA
emitter,1,NA
emitters,NA,NA
emitting,NA,NA
emma,NA,NA
emmers,NA,NA
emmet,1,NA
emmy,1,NA
emolument,1,1
emory,NA,NA
emote,1,1
emotes,NA,NA
emoting,NA,NA
emotion,1,1
emotional,4,2
emotionalism,1,NA
emotionality,1,NA
emotionalizing,NA,NA
emotionally,2,NA
emotionless,1,1
emotions,NA,NA
emotive,1,1
emove,NA,NA
emp,NA,NA
empanada,NA,1
empanelled,NA,NA
empathetic,1,1
empathic,1,1
empathise,1,NA
empathize,1,1
empathized,NA,NA
empathizing,NA,NA
empathy,1,1
empennage,1,NA
emperess,NA,NA
emperor,4,1
emperors,NA,NA
empery,NA,NA
emphasis,4,2
emphasise,2,NA
emphasised,1,NA
emphasises,NA,NA
emphasising,NA,NA
emphasize,2,3
emphasized,1,NA
emphasizes,NA,NA
emphasizing,1,NA
emphatic,3,2
emphatically,1,2
emphysema,1,1
empire,5,2
empires,NA,NA
empiric,2,NA
empirical,2,1
empirically,1,NA
empiricism,3,1
empiricist,1,1
empirics,NA,NA
emplacement,2,1
emplacements,NA,NA
empleomania,NA,NA
employ,3,3
employable,2,1
employed,2,NA
employee,1,1
employees,NA,NA
employer,1,1
employers,NA,NA
employing,NA,NA
employment,4,2
employments,NA,NA
employs,NA,NA
emporium,1,1
emporiums,NA,NA
empower,2,2
empowered,1,NA
empowering,NA,NA
empowerment,1,NA
empowers,NA,NA
empress,1,1
empresses,NA,NA
emprint,NA,NA
empt,NA,NA
emptied,NA,NA
emptier,NA,NA
empties,NA,1
emptiest,NA,NA
emptily,NA,NA
emptiness,4,2
emption,NA,NA
emptor,1,NA
empty,10,7
emptying,1,NA
empyrean,3,NA
ems,NA,NA
emu,2,1
emulate,3,2
emulated,NA,NA
emulating,NA,NA
emulation,3,NA
emulsification,NA,NA
emulsified,NA,NA
emulsify,2,1
emulsion,2,3
emus,NA,NA
en,1,NA
enable,1,2
enabled,NA,NA
enablement,NA,NA
enabler,NA,2
enablers,NA,NA
enables,NA,NA
enabling,1,2
enact,2,2
enacted,NA,NA
enacting,NA,NA
enactment,3,NA
enactments,NA,NA
enamel,5,3
enameled,NA,NA
enamelled,NA,NA
enamelware,1,NA
enamored,1,2
enamour,1,NA
enamoured,NA,NA
enc,NA,NA
encamp,1,1
encamped,NA,NA
encampment,3,1
encapsulate,2,1
encapsulated,NA,NA
encapsulates,NA,NA
encase,1,NA
encased,1,NA
encasement,1,NA
encases,NA,NA
encasing,NA,NA
encephalitic,NA,NA
encephalitis,1,1
encephalogram,2,NA
encephalographic,NA,NA
encephalography,1,NA
encephalopathic,NA,NA
encephalopathy,1,NA
enchant,3,2
enchanted,1,1
enchanter,1,1
enchanting,1,1
enchantingly,1,NA
enchantment,3,2
enchantments,NA,NA
enchantress,2,2
enchants,NA,NA
enchilada,1,1
enchiladas,NA,NA
encircle,2,1
encircled,1,NA
encirclement,1,NA
encircles,NA,NA
encircling,1,NA
enclave,1,1
enclaves,NA,NA
enclose,4,2
enclosed,1,3
encloses,NA,NA
enclosing,1,NA
enclosure,4,2
enclosures,NA,NA
encode,1,3
encoded,NA,NA
encoder,NA,NA
encoding,1,NA
encompass,1,1
encompassed,NA,NA
encompasses,NA,NA
encompassing,2,NA
encore,2,1
encores,NA,NA
encoring,NA,NA
encounter,9,4
encountered,NA,NA
encountering,NA,NA
encounters,NA,NA
encourage,3,3
encouraged,1,NA
encouragement,3,2
encourager,NA,NA
encourages,NA,NA
encouraging,2,1
encroach,2,3
encroaches,NA,NA
encroaching,1,NA
encroachment,3,NA
encroachments,NA,NA
encrust,3,NA
encrustation,3,NA
encrusted,1,NA
encrypt,1,1
encrypted,NA,NA
encrypting,NA,NA
encryption,1,NA
encryptions,NA,NA
encumbered,1,NA
encumbrance,3,1
encumbrances,NA,NA
encyclopaedia,1,NA
encyclopaedic,1,NA
encyclopedia,1,1
encyclopedias,NA,NA
encyclopedic,1,2
end,18,10
endanger,2,1
endangered,1,NA
endangering,NA,NA
endangerment,1,NA
endangers,NA,NA
endarterectomy,1,NA
ende,NA,NA
endear,1,NA
endeared,NA,NA
endearing,1,1
endearment,1,1
endears,NA,NA
endeavor,3,3
endeavored,NA,NA
endeavoring,NA,NA
endeavors,NA,NA
endeavour,3,NA
endeavoured,NA,NA
endeavouring,NA,NA
endeavours,NA,NA
ended,1,NA
endemic,5,1
enders,NA,NA
endgame,2,NA
ending,5,3
endings,NA,NA
endive,2,2
endives,NA,NA
endless,4,1
endlessly,4,NA
endlessness,1,NA
endnotes,NA,NA
endocarditis,1,NA
endocentric,1,NA
endocrine,3,NA
endocrinic,NA,NA
endocrinologist,1,NA
endocrinologists,NA,NA
endocrinology,1,NA
endocytotic,NA,NA
endodontist,1,NA
endogenous,2,NA
endolymphatic,NA,NA
endometrial,1,NA
endometrium,1,NA
endomorph,1,NA
endopelvic,NA,NA
endoplasmic,NA,NA
endorphin,1,1
endorse,4,2
endorsed,NA,NA
endorsement,5,1
endorsements,NA,NA
endorses,NA,NA
endorsing,NA,NA
endoscope,1,NA
endoscopic,1,NA
endoscopically,NA,NA
endoscopy,1,1
endoskeletal,NA,NA
endoskeleton,1,1
endothermic,1,1
endotracheal,NA,NA
endow,2,1
endowed,1,NA
endowing,NA,NA
endowment,3,2
endowments,NA,NA
endows,NA,NA
endplate,1,NA
endpoint,1,NA
ends,NA,NA
endurable,1,NA
endurance,2,1
endure,7,1
endured,NA,NA
endures,NA,NA
enduring,2,1
enduro,NA,NA
endymion,NA,NA
enema,1,1
enemas,NA,NA
enemies,NA,NA
enemy,4,1
energetic,2,1
energetically,1,NA
energico,NA,NA
energies,NA,NA
energise,2,NA
energising,1,NA
energize,2,1
energized,NA,NA
energizer,2,NA
energizers,NA,NA
energizes,NA,NA
energizing,2,NA
energumen,NA,NA
energy,7,2
enervated,1,NA
enfant,NA,NA
enfants,NA,NA
enfeebled,NA,NA
enfield,NA,NA
enfilade,2,NA
enfiladed,NA,NA
enfilading,NA,NA
enfin,NA,NA
enflame,NA,NA
enfleurage,NA,NA
enfold,1,1
enfolded,NA,NA
enfolding,1,NA
enforce,2,1
enforceable,1,NA
enforced,1,1
enforcement,1,1
enforcer,1,2
enforcers,NA,NA
enforces,NA,NA
enforcing,NA,NA
enfranchised,1,NA
enfranchisement,3,NA
eng,NA,NA
engage,10,3
engaged,7,3
engagement,7,6
engagements,NA,NA
engages,NA,NA
engaging,1,1
engastrimythic,NA,NA
engelmann,NA,NA
engender,2,1
engendered,NA,NA
engendering,NA,NA
engenders,NA,NA
engine,4,4
engineer,4,4
engineered,NA,NA
engineering,3,1
engineers,NA,NA
engineman,NA,NA
engines,NA,NA
engirdled,NA,NA
england,1,NA
englander,NA,NA
englanders,NA,NA
engle,NA,NA
english,6,NA
englished,NA,NA
englishing,NA,NA
englishman,1,NA
englishmen,NA,NA
englishwoman,1,NA
englishwomen,NA,NA
engorged,1,1
engorgement,2,NA
engrained,NA,NA
engram,1,NA
engrams,NA,NA
engrave,4,1
engraved,1,NA
engraver,2,NA
engravers,NA,NA
engraves,NA,NA
engraving,3,2
engravings,NA,NA
engross,2,1
engrossed,2,1
engrosses,NA,NA
engrossing,1,NA
engulf,2,2
engulfed,NA,NA
engulfing,NA,NA
engulfs,NA,NA
enhance,2,1
enhanced,1,1
enhancement,1,1
enhancements,NA,NA
enhancer,1,NA
enhancers,NA,NA
enhances,NA,NA
enhancing,NA,NA
enigma,2,1
enigmas,NA,NA
enigmatic,2,1
enigmatical,1,NA
enjoin,2,NA
enjoined,NA,NA
enjoining,1,NA
enjoy,5,2
enjoyable,1,1
enjoyed,NA,NA
enjoying,NA,NA
enjoyment,3,2
enjoyments,NA,NA
enjoys,NA,NA
enkindle,2,NA
enlarge,4,1
enlarged,4,NA
enlargement,4,1
enlargements,NA,NA
enlarger,1,NA
enlarges,NA,NA
enlarging,NA,NA
enlight,NA,NA
enlighten,3,1
enlightened,3,1
enlightening,2,NA
enlightenment,3,1
enlightens,NA,NA
enlist,3,1
enlisted,NA,NA
enlisting,1,NA
enlistment,2,NA
enlistments,NA,NA
enlists,NA,NA
enliven,2,1
enlivened,2,NA
enlivens,NA,NA
enmesh,1,NA
enmeshed,1,NA
enmity,2,1
ennoble,2,2
ennobled,NA,NA
ennoblement,2,NA
ennobles,NA,NA
ennobling,2,NA
ennui,1,1
enoch,NA,NA
enology,1,NA
enormity,4,2
enormous,1,1
enormously,1,2
enormousness,1,NA
enough,3,3
enounced,NA,NA
enow,NA,NA
enplane,1,NA
enquire,3,NA
enquired,NA,NA
enquirer,1,NA
enquires,NA,NA
enquiries,NA,NA
enquiring,NA,1
enquiry,3,NA
enrage,1,1
enraged,1,NA
enrages,NA,NA
enraging,NA,NA
enrapture,1,NA
enraptured,1,1
enrich,2,2
enriched,NA,NA
enriches,NA,NA
enriching,NA,NA
enrichment,2,NA
enrichments,NA,NA
enright,NA,NA
enrol,1,NA
enroll,1,1
enrolled,NA,NA
enrollees,NA,NA
enrolling,NA,NA
enrollment,2,2
enrolls,NA,NA
enrolment,1,NA
ens,NA,NA
ensconced,NA,NA
ense,NA,NA
ensemble,5,2
ensembles,NA,NA
enshrine,2,NA
enshrined,NA,NA
enshrinement,NA,NA
enshrines,NA,NA
enshroud,1,2
enshrouded,NA,NA
ensign,3,NA
ensigns,NA,NA
enslave,1,2
enslaved,NA,NA
enslavement,2,NA
enslaver,NA,NA
enslavers,NA,NA
enslaves,NA,NA
enslaving,NA,NA
ensnare,2,2
ensnared,NA,NA
ensnares,NA,NA
ensouled,NA,NA
ensue,1,1
ensued,NA,NA
ensues,NA,NA
ensuing,1,1
ensuite,NA,NA
ensure,2,1
ensured,NA,NA
ensures,NA,NA
ensuring,NA,NA
entail,5,2
entailed,NA,NA
entailing,NA,NA
entails,NA,NA
entangle,2,2
entangled,3,NA
entanglement,1,1
entanglements,NA,NA
entendre,NA,NA
entendres,NA,NA
entente,2,1
enter,9,3
entered,NA,NA
entering,2,NA
enteritis,1,1
enterocolitis,NA,NA
enterprise,3,2
enterprised,NA,NA
enterpriser,1,NA
enterprises,NA,NA
enterprising,1,1
enters,NA,NA
entertain,3,2
entertained,1,NA
entertainer,1,1
entertainers,NA,NA
entertaining,1,1
entertainingly,1,NA
entertainment,1,1
entertainments,NA,NA
entertains,NA,NA
enthral,1,NA
enthralled,1,1
enthralling,1,1
enthralls,NA,NA
enthroned,NA,NA
enthronement,1,NA
enthused,NA,NA
enthuses,NA,NA
enthusiasm,3,1
enthusiasms,NA,NA
enthusiast,2,1
enthusiastic,1,1
enthusiastically,2,NA
enthusiasts,NA,NA
entice,1,1
enticed,NA,NA
enticement,3,1
enticements,NA,NA
entices,NA,NA
enticing,1,1
entify,NA,NA
entire,5,1
entirely,2,2
entirety,1,1
entities,NA,NA
entitle,3,2
entitled,1,NA
entitlement,1,1
entitles,NA,NA
entity,1,1
entomb,1,1
entombed,NA,NA
entombing,NA,NA
entombment,1,NA
entomological,1,NA
entomologist,1,NA
entomologists,NA,NA
entomology,1,1
entourage,1,1
entr,NA,NA
entrails,1,1
entrained,NA,NA
entrainment,NA,NA
entrance,5,2
entranced,1,NA
entrances,NA,NA
entranceway,1,NA
entrancing,1,1
entrant,4,1
entrants,NA,NA
entrap,2,1
entrapment,1,1
entrapments,NA,NA
entrapped,NA,NA
entrapping,NA,NA
entre,NA,NA
entreat,1,1
entreated,NA,NA
entreaties,NA,NA
entreats,NA,NA
entreaty,1,1
entrechat,NA,NA
entrechats,NA,NA
entree,4,2
entrees,NA,NA
entrenched,2,1
entrepeneur,NA,NA
entrepreneur,1,1
entrepreneurial,2,1
entrepreneurs,NA,NA
entrer,NA,NA
entrez,NA,NA
entries,NA,NA
entropy,2,1
entrust,2,1
entrusted,NA,NA
entrusting,NA,NA
entrusts,NA,NA
entry,6,3
entryway,1,1
entryways,NA,NA
entwine,2,2
entwined,NA,NA
entwining,NA,NA
enucleated,NA,NA
enumerate,2,1
enumerated,NA,NA
enumeration,2,NA
enumerators,NA,NA
enunciate,2,1
enunciated,NA,NA
enunciates,NA,NA
enunciating,NA,NA
enunciation,1,NA
enunciators,NA,NA
enured,1,NA
envelop,1,1
envelope,6,2
enveloped,NA,NA
envelopes,NA,NA
enveloping,1,NA
envelops,NA,NA
enviable,1,1
envied,NA,NA
envies,NA,NA
envious,1,1
enviously,1,NA
environment,2,2
environmental,2,1
environmentalism,2,NA
environmentalist,1,1
environmentalists,NA,NA
environmentally,1,1
environments,NA,NA
environs,2,1
envisage,1,1
envisaged,NA,NA
envisaging,NA,NA
envision,2,1
envisioned,1,NA
envisioning,1,NA
envisions,NA,NA
envoy,3,1
envoys,NA,NA
envy,4,2
envying,NA,NA
enwrought,NA,NA
enzymatic,1,NA
enzyme,1,1
enzymes,NA,NA
eo,NA,NA
eocene,1,NA
eohippus,1,NA
eon,3,1
eons,NA,NA
eosin,1,NA
eosinophil,1,NA
ep,NA,NA
epa,1,NA
eparch,2,NA
epaulet,1,1
epaulets,NA,NA
epaulettes,NA,NA
epee,1,NA
ephedra,1,NA
ephedrine,1,NA
ephemera,1,1
ephemeral,2,1
ephesian,2,NA
ephesians,1,NA
ephialtes,NA,NA
ephraim,NA,NA
epi,1,NA
epic,3,4
epical,1,NA
epically,NA,NA
epicardium,1,NA
epicenter,1,NA
epicentre,1,NA
epicondyle,1,NA
epics,NA,NA
epicure,1,1
epicurean,4,1
epicureans,NA,NA
epicures,NA,NA
epidemic,2,1
epidemics,NA,NA
epidemiological,1,NA
epidemiologist,1,NA
epidemiologists,NA,NA
epidemiology,1,1
epidermal,1,NA
epidermic,1,NA
epidermis,1,1
epidiascope,1,NA
epididymis,1,NA
epidural,2,1
epidurals,NA,NA
epigastric,2,NA
epiglottis,1,1
epigram,1,1
epigrams,NA,NA
epilepsy,1,1
epileptic,2,2
epileptics,NA,NA
epileptoid,NA,NA
epilogue,2,1
epinephrine,1,NA
epipelagic,NA,NA
epiphanies,NA,NA
epiphany,2,1
epiphenomenalism,NA,NA
epiphyseal,1,NA
epiphysial,1,NA
epiphyte,1,NA
epiphytes,NA,NA
episcopal,2,1
episcopalian,2,NA
episcopalians,NA,NA
episiotomy,1,1
episodal,NA,NA
episode,4,3
episodes,NA,NA
episodic,3,1
epistemic,1,1
epistemological,1,NA
epistle,2,1
epistles,NA,NA
epitaph,2,1
epitaphs,NA,NA
epithelial,1,NA
epithelium,1,NA
epithet,2,1
epithets,NA,NA
epitome,2,NA
epitomised,NA,NA
epitomize,1,1
epitomized,NA,NA
epitomizes,NA,NA
epoch,3,1
epochal,1,NA
epoxide,NA,NA
epoxies,NA,NA
epoxy,2,NA
eppes,NA,NA
epsilon,1,NA
epsilons,NA,NA
epsom,NA,NA
epulis,NA,NA
eq,1,NA
equal,6,5
equaled,NA,NA
equalised,NA,NA
equaliser,2,NA
equality,2,1
equalization,1,NA
equalize,2,2
equalized,NA,NA
equalizer,3,3
equalizes,NA,NA
equalizing,NA,NA
equalled,NA,NA
equalling,NA,NA
equally,2,2
equals,NA,NA
equanimity,1,1
equate,3,2
equated,NA,NA
equates,NA,NA
equating,1,NA
equation,3,2
equations,NA,NA
equator,2,NA
equatorial,4,1
equerry,2,1
equestrian,3,1
equidistant,1,1
equilateral,2,NA
equilibrator,NA,NA
equilibrium,4,4
equine,3,1
equinox,2,1
equip,2,2
equiped,NA,NA
equipment,1,2
equipments,NA,NA
equipoise,1,NA
equipped,4,NA
equipping,1,NA
equips,NA,NA
equitable,1,1
equitation,1,NA
equities,NA,NA
equity,3,3
equivalency,NA,NA
equivalent,3,2
equivalents,NA,NA
equivocal,3,2
equivocate,1,1
equivocating,NA,NA
equivocation,3,NA
equivocations,NA,NA
er,2,NA
era,3,1
eradicate,2,1
eradicated,NA,NA
eradicating,NA,NA
eradication,1,NA
